KEY,ANNOTATION,PROPERTY_DESCRIPTION,IDENTIFIER
ENTITY_NAME,CREATE_ENTITY,Name ,name 
ENTITY_STATE,SET_STATE,State,state
ENTITY_FIP_CODE,SET_FIP,FIP CODE,fip_code
ENTITY_TYPE,SET_TYPE,TYPE,type
MODULE_SEX_AGE,CREATE_DATA_MODULE,Sex and Age,sex_and_age
HC01_VC03,CREATE_DATA_POINT,Total Population,total_population
MALE_FEMALE_CDP,CREATE_COMPOSITE_DATA_POINT,Male vs Female Percentage,male_female_percentage
HC01_VC04,CREATE_DATA_FRAGMENT,Total Population -Male,total_population_male
HC01_VC05,CREATE_DATA_FRAGMENT,Total population - Female,total_population_female
AGE_DISTRIBUTION_CDP,CREATE_COMPOSITE_DATA_POINT,Age Distribution,age_distribution
HC01_VC08,CREATE_DATA_FRAGMENT,Under 5 years,under_5_years
HC01_VC09,CREATE_DATA_FRAGMENT,5 to 9 years,5_to_9_years
HC01_VC10,CREATE_DATA_FRAGMENT,10 to 14 years,10_to_14_years
HC01_VC11,CREATE_DATA_FRAGMENT,15 to 19 years,15_to_19_years
HC01_VC12,CREATE_DATA_FRAGMENT,20 to 24 years,20_to_24_years
HC01_VC13,CREATE_DATA_FRAGMENT,25 to 34 years,25_to_34_years
HC01_VC14,CREATE_DATA_FRAGMENT,35 to 44 years,35_to_44_years
HC01_VC15,CREATE_DATA_FRAGMENT,45 to 54 years,45_to_54_years
HC01_VC16,CREATE_DATA_FRAGMENT,55 to 59 years,55_to_59_years
HC01_VC17,CREATE_DATA_FRAGMENT,60 to 64 years,60_to_64_years
HC01_VC18,CREATE_DATA_FRAGMENT,65 to 74 years,65_to_74_years
HC01_VC19,CREATE_DATA_FRAGMENT,75 to 84 years,75_to_84_years
HC01_VC20,CREATE_DATA_FRAGMENT,85 years and over,85_years_and_over
HC01_VC23,CREATE_DATA_POINT,Median age (years),median_age_in_years
HC01_VC26,CREATE_DATA_POINT,18 years and over,18_years_and_over
HC01_VC27,CREATE_DATA_POINT,21 years and over,21_years_and_over
HC01_VC28,CREATE_DATA_POINT,62 years and over,62_years_and_over
HC01_VC29,CREATE_DATA_POINT,65 years and over,65_years_and_over
HC01_VC32,CREATE_COMPOSITE_DATA_POINT,18 years and over,18_years_and_over_cdp
HC01_VC33,CREATE_DATA_FRAGMENT,18 years and over  Male,18_years_and_over_male
HC01_VC34,CREATE_DATA_FRAGMENT,18 years and over  Female,18_years_and_over_female
HC01_VC37,CREATE_COMPOSITE_DATA_POINT,65 years and over,65_years_and_over_cdp
HC01_VC38,CREATE_DATA_FRAGMENT,65 years and over  Male,65_years_and_over_male
HC01_VC39,CREATE_DATA_FRAGMENT,65 years and over  Female,65_years_and_over_fe_male
MODULE_RACE,CREATE_DATA_MODULE,Race,race
